Filename,BugType,MinBugLengthMM,DesiredBugLengthMM,MaxBugLengthMM,BugLengthAsProportionOfImageWidth,Easy,Medium,Hard
ant_insect-3624644_640_cutout.jpg,ant,2,3,4,0.05023547881,,,
ant-563286_1280_cutout.jpg,ant,2,3,4,,,,
ants_fire-ants-1790262_1280_cutout_cutout.jpg,ant,2,3,4,0.3757062147,,,
aphid_20293314_cutout.jpg,aphid,2,2,2,,,,
aphid-3230902_1920_cutout.jpg,aphid,2,2,2,0.04070981211,,,
bees-and_wasps_2986318_cutout.jpg,"bees, wasps, and sawflies",2,5,10,,,,
bees-and-wasps_482526_cutout.jpg,"bees, wasps, and sawflies",2,5,10,0.2389813908,,,
bees-and-wasps_7689477_cutout.jpg,"bees, wasps, and sawflies",2,5,10,0.483234714,,,
beetle_colorado-potato-beetle-1803237_640_cutout.jpg,beetle,10,15,25,,,,
beetle_freeimage-117885267-high_cutout.jpg,beetle,10,15,25,0.3021091811,,,
beetle_freeimage-17923302-high_cutout.jpg,beetle,10,15,25,0.3881666224,,,
beetle_freeimage-25450546-high_cutout.jpg,beetle,10,15,25,0.3653846154,,,
beetle_freeimage-28401935-high_cutout.jpg,beetle,10,15,25,0.4389555399,,,
beetle_freeimage-31369110-high_cutout.jpg,beetle,6,16,20,0.7353228963,,,
beetle_freeimage-31369110-high_cutout.jpg,beetle,6,16,20,,,,
beetle_june-bug-1622740_640_cutout.jpg,beetle,3,5,7,0.4952978056,,,
beetle_ladybug-1156915_640_cutout.jpg,beetle,2,3,4,0.1408450704,,,
beetle_ladybug-1391741_640_cutout.jpg,beetle,2,3,4,0.2201257862,,,
caterpillar_freeimage-15561819-high_cutout.jpg,caterpillar,3,15,35,0.7874186551,,,
caterpillar_freeimage-17615546-high_cutout.jpg,caterpillar,3,15,35,0.5741265345,,,
caterpillar_freeimage-17693071-high_cutout.jpg,caterpillar,3,15,35,0.4513960703,,,
caterpillar_freeimage-17907021-high_cutout.jpg,caterpillar,3,15,35,,,,
